0.36978,0.20101,1.7455,0.34375,0.089616,1.7606,0.47187,0.096883,1.5688,0.22285,0.14117,1.5833,0.27096,0.15412,1.7158,0.50254,0.075752,1.4494,0.17382,0.082122,1.4394,0.24015,0.20232,0.075873,0.25266,-0.059639,0.09059,0.45954,0.1969,0.072845,0.43367,-0.064175,0.082207
0.36977,0.20095,1.7455,0.34373,0.089606,1.7606,0.47185,0.09682,1.5687,0.22278,0.1411,1.5833,0.27094,0.15406,1.7158,0.50248,0.075709,1.4493,0.17378,0.08208,1.4394,0.23979,0.20219,0.075684,0.25266,-0.059646,0.090575,0.45952,0.19688,0.072862,0.43188,-0.066417,0.085035
0.36975,0.20087,1.7455,0.34369,0.089537,1.7606,0.47176,0.096692,1.5687,0.22274,0.14107,1.5833,0.27092,0.154,1.7158,0.50241,0.075662,1.4494,0.17372,0.082028,1.4393,0.23981,0.20216,0.075734,0.25266,-0.059659,0.090563,0.45951,0.19685,0.072861,0.43189,-0.066433,0.085028
0.36971,0.20081,1.7455,0.34362,0.089438,1.7606,0.47171,0.096659,1.5687,0.22268,0.141,1.5833,0.27086,0.15395,1.7158,0.50233,0.075576,1.4494,0.17367,0.081974,1.4393,0.23981,0.20216,0.075718,0.25266,-0.059656,0.090552,0.45951,0.19686,0.07288,0.43189,-0.066435,0.085017
0.36967,0.20075,1.7455,0.34356,0.089376,1.7606,0.47167,0.096569,1.5686,0.22261,0.14096,1.5833,0.27079,0.1539,1.7157,0.50228,0.075521,1.4493,0.1736,0.081924,1.4393,0.23975,0.20215,0.075725,0.25266,-0.059664,0.09055,0.45951,0.19686,0.072852,0.43189,-0.066442,0.085004
0.36961,0.20069,1.7455,0.3435,0.089318,1.7605,0.47159,0.096524,1.5687,0.22256,0.14091,1.5833,0.27074,0.15383,1.7157,0.50222,0.07548,1.4493,0.17351,0.081768,1.4393,0.23974,0.20214,0.075731,0.25266,-0.059678,0.090541,0.45951,0.19686,0.072894,0.4319,-0.066442,0.084995
0.36951,0.20054,1.7456,0.34342,0.089253,1.7605,0.47152,0.096438,1.5687,0.22249,0.14088,1.5833,0.27067,0.15381,1.7157,0.50215,0.075446,1.4493,0.17349,0.081868,1.4392,0.23973,0.20213,0.07574,0.25266,-0.059685,0.09053,0.45951,0.19684,0.072903,0.4319,-0.066451,0.084987
0.36942,0.20049,1.7456,0.34332,0.08916,1.7605,0.47149,0.096431,1.5686,0.22243,0.14081,1.5833,0.27059,0.15377,1.7157,0.50209,0.075412,1.4493,0.17344,0.081815,1.4392,0.23982,0.20213,0.075764,0.25266,-0.059703,0.090536,0.45952,0.19685,0.072902,0.4319,-0.066464,0.084991
0.36933,0.20044,1.7456,0.34319,0.088999,1.7606,0.47142,0.096362,1.5687,0.22234,0.14078,1.5833,0.27049,0.15371,1.7157,0.50194,0.075307,1.4494,0.17333,0.081698,1.4393,0.23981,0.20213,0.075762,0.25265,-0.059691,0.090511,0.45951,0.19687,0.072881,0.43189,-0.066477,0.084993
0.36922,0.20035,1.7456,0.34311,0.088942,1.7606,0.47135,0.096312,1.5687,0.22228,0.14074,1.5832,0.27041,0.15363,1.7157,0.50189,0.075276,1.4494,0.17329,0.081669,1.4393,0.23975,0.20214,0.075751,0.25265,-0.059692,0.090498,0.45951,0.19684,0.072911,0.43189,-0.066473,0.08499
